Demographics Split,US Ranking,University Name,School Name,Program Name,Program Category,Certificate,City,State,Length in Days (put average number of days if different lengths are listed),Modality,Location,Total Cost (if cost per credit is not listed. Put the latest cost),Total Online Format Cost (if cost per credit is not listed and online vs in person cost is different),Target Demographics (keep consistencies as much as possible),Unique Value
C-SUITE EXECUTIVES,2,Northwestern University,Kellogg School of Management,Sustainability Essentials for Leaders,Leadership / Governance,,Evanston,IL,,,na,,,C-SUITE EXECUTIVES,37
C-SUITE EXECUTIVES,4,Columbia University,Columbia Business School,Leading Digital Transformation,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"C-SUITE EXECUTIVES, DIRECTORS OF STRATEGY, HEADS OF DIGITAL TRANSFORMATION, CHANGE MANAGEMENT EXECUTIVES",157
C-SUITE EXECUTIVES,2,Northwestern University,Kellogg School of Management,Beyond Diversity,Leadership / Governance,,Chicago,IL,5,In person,"Downtown Chicago, IL",7950,,"C-SUITE EXECUTIVES, CHIEF DIVERSITY OFFICERS, HR OFFICERS, DEI LEADERS",26
C-SUITE EXECUTIVES,9,UC Berkeley,Hass,Berkeley Technology Leadership Program,TMI,Yes,Berkeley,CA,120,Online,Online,,7200,"MID- TO SENIOR-LEVEL MANAGERS , EXECUTIVES, C-SUITE LEADERS , DIRECTORS",224
C-SUITE EXECUTIVES,4,Columbia University,Columbia Business School,Digital Strategies for Business,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,,Online,Online,,1500,"SENIOR MANAGEMENT , C-SUITE PROFESSIONALS, MID TO SENIOR MANAGERS, CONSULTANTS, FUNCTIONAL MANAGERS",158
C-SUITE EXECUTIVES,9,UC Berkeley,Hass,The Berkeley Executive Leadership Program,"Leadership and Communication, Strategy and management",Yes,Berkeley,CA,5,In person,"Berkeley,CA",9900,,"EXECUTIVES , SENIOR LEADERS INCLUDING CEOS , OTHER C-SUITE LEADERSHIP,FOUNDERS , ENTREPRENEURS",210
C-SUITE EXECUTIVES,7,University of Michigan--Ann Arbor,Ross,Building Board Expertise on Sustainability,Focused Programs Courses,,Ann Arbor,MI,35,Online,Online,,3000,"BOARD MEMBERS – NEW OR SENIOR EXECUTIVES, PAST PARTICIPANTS INCLUDE C-SUITE EXECUTIVES , SENIOR EXECUTIVES",176
C-SUITE EXECUTIVES,4,Columbia University,Columbia Business School,The Business of AI,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"MID- TO SENIOR-LEVEL PROFESSIONALS, CONSULTANTS , TECHNICAL EXPERTS, SENIOR (C-SUITE) EXECUTIVES",156
C-SUITE EXECUTIVES,7,University of Michigan--Ann Arbor,Ross,Ascending to the C-Suite: From Theory to Practice,Leadership,,Ann Arbor,MI,4,In person,"Plymouth,MI",8900,,"ATLEAST 15 YEAR EXPERIENCE, SUCCESSOR TO C-SUITE, WOMEN ENTREPRENEURS",160
SOCIAL MEDIA MANAGERS,12,Cornell University,SC Johnson,SOCIAL MEDIA MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"CONTENT MARKETERS, SOCIAL MEDIA MANAGERS, MARKETING CHANNEL MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ACCOUNT EXECUTIVES, BR, MARKETERS, MARKETING COMMUNICATIONS SPECIALISTS, COPYWRITERS, MARKETING CONSULTANTS",236
SOCIAL MEDIA MANAGERS,12,Cornell University,SC Johnson,GROWTH MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"CMO, MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",235
SOCIAL MEDIA MANAGERS,12,Cornell University,SC Johnson,DIGITAL MARKETING 360,Marketing,Yes,Ithaca,NY,200,Online,Online,,7999,"MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",233
SOCIAL MEDIA MANAGERS,12,Cornell University,SC Johnson,BRAND MANAGEMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3900,"MARKETERS,PR PROFESSIONALS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",238
SOCIAL MEDIA MANAGERS,12,Cornell University,SC Johnson,BRAND STORYTELLING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3750,"MARKETERS,PR PROFESSIONALS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",239
SOCIAL MEDIA MANAGERS,12,Cornell University,SC Johnson,CONTENT WRITING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"COPYWRITERS , COPY EDITORS, MARKETERS, WRITERS, SOCIAL MEDIA , CONTENT DEVELOPERS",237
IT,9,UC Berkeley,Hass,Professional Certificate in Machine Learning and Artificial Intelligence,Entrepreneurship and Innovation,Yes,Berkeley,CA,120,Online,Online,,7268,"IT , ENGINEERING PROFESSIONALS, DATA , BUSINESS ANALYSTS, RECENT SCIENCE, TECHNOLOGY, ENGINEERING, , MATHEMATICS (STEM) GRADUATES",222
BR,12,Cornell University,SC Johnson,STRATEGIC STORYTELLING,Marketing,Yes,Ithaca,NY,50,Online,Online,,3750,"MARKETERS,COMMUNITY LEADERS,BR, MANAGERS, COMMUNICATION CONSULTANTS , LEADERS",240
BR,12,Cornell University,SC Johnson,SUSTAINABLE BUSINESSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,50,Online,Online,,3900,"MID- TO SENIOR-LEVEL MANAGERS, BR, MANAGERS, SUSTAINABILITY DIRECTORS, SUPPLY CHAIN MANAGEMENT PROFESSIONALS, GRADUATE STUDENTS",280
BR,4,Columbia University,Columbia Business School,Designing Customer Experiences,Marketing / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"MID-CAREER , SENIOR MARKETING , BR, MANAGERS, EXECUTIVES WITH MARKETING EXPERIENCE, SENIOR LEADERS",134
BR,4,Columbia University,Columbia Business School,Designing Customer Experiences,Marketing / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"MID-CAREER , SENIOR MARKETING , BR, MANAGERS WITH 10 YEARS OF MANAGEMENT EXPERIENCE, EXECUTIVES WITH MARKETING EXPERIENCE, SENIOR LEADERS",138
BR,12,Cornell University,SC Johnson,DATA PRIVACY STRATEGY,Marketing,Yes,Ithaca,NY,40,Online,Online,,2500,"CMOS, CIOS, CTOS, WEB DEVELOPERS, MARKETING, BR, , PRODUCT MANAGERS,TECH LEADERS, DATA SCIENTIST, CONSULTANT",250
BR,12,Cornell University,SC Johnson,BRAND STORYTELLING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3750,"MARKETERS,PR PROFESSIONALS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",239
BR,12,Cornell University,SC Johnson,SOCIAL MEDIA MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"CONTENT MARKETERS, SOCIAL MEDIA MANAGERS, MARKETING CHANNEL MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ACCOUNT EXECUTIVES, BR, MARKETERS, MARKETING COMMUNICATIONS SPECIALISTS, COPYWRITERS, MARKETING CONSULTANTS",236
BR,12,Cornell University,SC Johnson,GROWTH MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"CMO, MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",235
BR,12,Cornell University,SC Johnson,DIGITAL MARKETING 360,Marketing,Yes,Ithaca,NY,200,Online,Online,,7999,"MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",233
BR,9,UC Berkeley,Hass,Marketing Analytics - Strategies to Optimize ROI,Entrepreneurship and Innovation,Yes,Berkeley,CA,40,Online,Online,,2600,"MARKETING , DIGITAL MARKETING MANAGERS, ANALYSTS,PRODUCT , BUSINESS MANAGERS, BR, MANAGERS",219
BR,12,Cornell University,SC Johnson,MARKETING AI,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS,CMOS, ANALYSS, BR, MANAGERS, CONTENT",249
BR,12,Cornell University,SC Johnson,BRAND MANAGEMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3900,"MARKETERS,PR PROFESSIONALS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",238
BR,12,Cornell University,SC Johnson,DIGITAL PHOTOGRAPHY,Marketing,Yes,Ithaca,NY,80,Online,Online,,1599,"CURRENT , ASPIRING PROFESSIONAL PHOTOGRAPHERS. ARTISTS, MARKETERS INVOLVED IN SOCIAL MEDIA, CREATIVE, OR BR,",253
EDUCATORS,12,Cornell University,SC Johnson,EQUITABLE COMMUNITY CHANGECertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,2500,"ACTIVISTS , COMMUNITY DEVELOPMENT ORGANIZERS, POLICY MAKERS, GRANT WRITERS, EDUCATORS",282
PROGRAM EVALUATORS,12,Cornell University,SC Johnson,BIG DATA FOR POLICYCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,80,Online,Online,,3600,"ASPIRING DATA SCIENTISTS , ANALYSTS, SOCIAL SCIENCE RESEARCHERS, GOVERNMENT PROGRAM MANAGERS, PROGRAM EVALUATORS, CITY , REGIONAL PLANNERS",279
ACTIVISTS,12,Cornell University,SC Johnson,CLIMATE CHANGE LEADERSHIPCourse,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",,Ithaca,NY,80,Online,Online,,,"ORGANIZATIONAL DECISION MAKERS, MANAGERS, RISK , SUPPLY CHAIN MANAGERS, ACTIVISTS",296
ACTIVISTS,12,Cornell University,SC Johnson,EQUITABLE COMMUNITY CHANGECertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,2500,"ACTIVISTS , COMMUNITY DEVELOPMENT ORGANIZERS, POLICY MAKERS, GRANT WRITERS, EDUCATORS",282
CONSULTANTS,4,Columbia University,Columbia Business School,Sales Team Management Strategies,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"VPS OF SALES, SENIOR SALES MANAGERS, OTHER SALES LEADERS, VPS OF MARKETING , SALES, HEADS OF PRODUCT MARKETING, OTHER MARKETING LEADERS, ENTREPRENEURS, FOUNDERS,CO-FOUNDERS OF ORGANIZATIONS, SALES CONSULTANTS, BUSINESS DEVELOPMENT CONSULTANTS, TECHNICAL SALES CONSULTANTS",142
CONSULTANTS,12,Cornell University,SC Johnson,STRATEGIC STORYTELLING,Marketing,Yes,Ithaca,NY,50,Online,Online,,3750,"MARKETERS,COMMUNITY LEADERS,BR, MANAGERS, COMMUNICATION CONSULTANTS , LEADERS",240
CONSULTANTS,12,Cornell University,SC Johnson,DATA PRIVACY STRATEGY,Marketing,Yes,Ithaca,NY,40,Online,Online,,2500,"CMOS, CIOS, CTOS, WEB DEVELOPERS, MARKETING, BR, , PRODUCT MANAGERS,TECH LEADERS, DATA SCIENTIST, CONSULTANT",250
CONSULTANTS,12,Cornell University,SC Johnson,SUPPLY CHAIN ANALYTICSCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3750,"OPERATIONS ANALYSTS, MARKET ANALYSTS, CONSULTANTS SEEKING SUPPLY CHAIN KNOWLEDGE",276
CONSULTANTS,12,Cornell University,SC Johnson,DATA ANALYTICS IN R Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,60,Online,Online,,3900,"ANALYSTS, FUNCTIONAL MANAGERS, CONSULTANTS. DEVELOPERS, DATA SCIENTISTS",261
CONSULTANTS,12,Cornell University,SC Johnson,DATA SCIENCE ESSENTIALS Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3600,"CURRENT , ASPIRING DATA SCIENTISTS , ANALYSTS, BUSINESS DECISION MAKERS,CONSULTANTS, EXECUTIVES",256
CONSULTANTS,4,Columbia University,Columbia Business School,Digital Marketing Intensive,Marketing / Analytics,Yes,New York,NY,,Online,Online,,6950,"EARLY TO MID-LEVEL MARKETING PROFESSIONALS, CAREER SWITCHERS, CONSULTANTS",141
CONSULTANTS,12,Cornell University,SC Johnson,HUMAN RIGHTS IN GLOBAL SUPPLY CHAINSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,30,Online,Online,,2500,"EXECUTIVES IN GLOBAL ORGANIZATIONS, CONSULTANTS, LAWYERS, PROFESSIONALS AT NGOS",293
CONSULTANTS,12,Cornell University,SC Johnson,BUSINESS STATISTICS Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,80,Online,Online,,3900,"NEW, EMERGING, , EXPERIENCED LEADERS, CONSULTANTS, ANALYSTS , RESEARCHERS, ENTREPRENEURS",270
CONSULTANTS,12,Cornell University,SC Johnson,PRODUCT MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,2999,"MARKETERS, PRODUCT MANAGERS, BUSINESS EXECS, CONSULTANTS, ENTREPRENEURS",248
CONSULTANTS,9,UC Berkeley,Hass,"Future of Technology: Trends, Strategies, and Innovation Opportunities",Strategy and management,Yes,Berkeley,CA,40,Online,Online,,2600,"TECHNOLOGY LEADERS, SENIOR BUSINESS LEADERS, CONSULTANTS, ENTREPRENEURS, , BUSINESS PROFESSIONALS",227
CONSULTANTS,12,Cornell University,SC Johnson,DATA ANALYTICS Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,180,Online,Online,,3900,"ANALYSTS, FUNCTIONAL MANAGERS, EXECUTIVES, CONSULTANTS",259
CONSULTANTS,4,Columbia University,Columbia Business School,The Business of AI,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"MID- TO SENIOR-LEVEL PROFESSIONALS, CONSULTANTS , TECHNICAL EXPERTS, SENIOR (C-SUITE) EXECUTIVES",156
CONSULTANTS,12,Cornell University,SC Johnson,DATA SCIENCE MODELING Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3600,"CURRENT , ASPIRING DATA SCIENTISTS , ANALYSTS, BUSINESS DECISION MAKERS,CONSULTANTS, EXECUTIVES",257
CONSULTANTS,4,Columbia University,Columbia Business School,Leading in a Data-Driven World,Negotiation & Decision Making,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"EXECUTIVE LEADERS , DECISION-MAKERS, MANAGERS, DIRECTORS IN DATA-INTENSIVE ROLES, STRATEGISTS, CONSULTANTS, CROSS-FUNCTIONAL LEADERS, INNOVATORS, CHANGE AGENTS",145
CONSULTANTS,4,Columbia University,Columbia Business School,Strategic Wealth Manager,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,162,Online,Online,,12000,"INVESTMENT ADVISORY PROFESSIONALS, CONSULTANTS",149
CONSULTANTS,12,Cornell University,SC Johnson,DATA VISUALIZATION IN TABLEAU Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3900,"BUSINESS , DATA ANALYSTS, MANAGERS , EXECUTIVES, MARKETERS, DEVELOPERS, PRODUCT MANAGERS, CONSULTANTS",263
CONSULTANTS,9,UC Berkeley,Hass,Business Analytics for Leaders : From Data to Decisions,"Entrepreneurship and Innovation, Strategy and management",Yes,Berkeley,CA,40,Online,Online,,2496,"MID- TO SENIOR-LEVEL MANAGERS, SENIOR EXECUTIVES , BUSINESS HEADS,CONSULTANTS, DATA ANALYTICS , TECHNOLOGY PROFESSIONALS",213
CONSULTANTS,12,Cornell University,SC Johnson,DATA ANALYTICS 360 Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,380,Online,Online,,5699,"ANALYSTS, FUNCTIONAL MANAGERS, EXECUTIVES, CONSULTANTS",260
CONSULTANTS,4,Columbia University,Columbia Business School,Digital Strategies for Business,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,,Online,Online,,1500,"SENIOR MANAGEMENT , C-SUITE PROFESSIONALS, MID TO SENIOR MANAGERS, CONSULTANTS, FUNCTIONAL MANAGERS",158
CONSULTANTS,9,UC Berkeley,Hass,"Berkeley Fintech: Frameworks, Applications, and Strategies",Entrepreneurship and Innovation,Yes,Berkeley,CA,40,Online,Online,,2314,"MID- TO SENIOR-LEVEL MANAGERS, CXOS OF FINTECH STARTUPS,CONSULTANTS",218
CONSULTANTS,9,UC Berkeley,Hass,Leading Complex Projects,Strategy and management,Yes,Berkeley,CA,40,Online,Online,,2600,"SKILLED PMP-CERTIFIED PROJECT MANAGERS, MID- TO SENIOR-LEVEL MANAGERS, ENTREPRENEURS , CONSULTANTS",228
CONSULTANTS,4,Columbia University,Columbia Business School,Python for Managers,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,56,Online,Online,,1950,"PRODUCT MANAGERS, RISK MANAGERS, PROJECT MANAGERS, MANAGEMENT CONSULTANTS, ENTREPRENEURS, PORTFOLIO MANAGERS, HIGH FREQUENCY TRADERS",153
CONSULTANTS,12,Cornell University,SC Johnson,SOCIAL MEDIA MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"CONTENT MARKETERS, SOCIAL MEDIA MANAGERS, MARKETING CHANNEL MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ACCOUNT EXECUTIVES, BR, MARKETERS, MARKETING COMMUNICATIONS SPECIALISTS, COPYWRITERS, MARKETING CONSULTANTS",236
CONSULTANTS,4,Columbia University,Columbia Business School,Sales Team Management Strategies,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"VPS OF SALES, SENIOR SALES MANAGERS, OTHER SALES LEADERS, VPS OF MARKETING , SALES, HEADS OF PRODUCT MARKETING, OTHER MARKETING LEADERS, ENTREPRENEURS, FOUNDERS,CO-FOUNDERS OF ORGANIZATIONS, SALES CONSULTANTS, BUSINESS DEVELOPMENT CONSULTANTS, TECHNICAL SALES CONSULTANTS",142
CONSULTANTS,4,Columbia University,Columbia Business School,Sales Team Management Strategies,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"VPS OF SALES, SENIOR SALES MANAGERS, OTHER SALES LEADERS, VPS OF MARKETING , SALES, HEADS OF PRODUCT MARKETING, OTHER MARKETING LEADERS, ENTREPRENEURS, FOUNDERS,CO-FOUNDERS OF ORGANIZATIONS, SALES CONSULTANTS, BUSINESS DEVELOPMENT CONSULTANTS, TECHNICAL SALES CONSULTANTS",142
QUALITY CONTROL PROFESSIONALS,12,Cornell University,SC Johnson,PROBABILITY ANALYSISCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,,Online,Online,,,"ENGINEERS,QUALITY CONTROL PROFESSIONALS, MATERIALS ANALYSTS, PRODUCT DEVELOPERS, DATA SCIENTISTS , ANALYSTS",277
COMMUNITY LEADERS,12,Cornell University,SC Johnson,CORPORATE SUSTAINABILITYCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,50,Online,Online,,3900,"SENIOR LEADERS , EXECUTIVES, LEGAL PROFESSIONALS, PHILANTHROPISTS, ENTREPRENEURS, COMMUNICATIONS EXPERTS, COMMUNITY ACTIVISTS",281
COMMUNITY LEADERS,12,Cornell University,SC Johnson,EQUITABLE COMMUNITY CHANGECertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,2500,"ACTIVISTS , COMMUNITY DEVELOPMENT ORGANIZERS, POLICY MAKERS, GRANT WRITERS, EDUCATORS",282
COMMUNITY LEADERS,12,Cornell University,SC Johnson,STRATEGIC STORYTELLING,Marketing,Yes,Ithaca,NY,50,Online,Online,,3750,"MARKETERS,COMMUNITY LEADERS,BR, MANAGERS, COMMUNICATION CONSULTANTS , LEADERS",240
COMMUNITY LEADERS,12,Cornell University,SC Johnson,NATURAL LANGUAGE PROCESSING WITH PYTHON Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,90,Online,Online,,3750,"ENGINEERS, SOFTWARE DEVELOPERS, COMPUTER SCIENTISTS NEW TO NLP, DATA SCIENTISTS, ANALYSTS",267
RISING HIGH SCHOOL SENIORS,12,Cornell University,SC Johnson,BIG DATA FOR BIG POLICY PROBLEMSCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,160,Online,Online,,3699,"RISING HIGH SCHOOL SENIORS, HIGH SCHOOL STUDENTS INTERESTED IN DATA SCIENCE OR SOCIAL CHANGE, STUDENTS AGED 16 , OLDER",278
SENIOR EXECUTIVES,9,UC Berkeley,Hass,The Berkeley Changemaker,Leadership and Communication,Yes,Berkeley,CA,3,In person,"Berkeley,CA",4005,,"MID-LEVEL PROFESSIONALS,LATE-STAGE EXECUTIVES",209
SENIOR EXECUTIVES,14,Dartmouth College,Tuck,Advanced Management Program,Management,No,Hanover,NH,12,In person,Tuck School of Business,29000,,"SENIOR EXECUTIVES IN ROLES THAT HAVE STRATEGIC IMPLICATIONS , WHO SEEK TO FOSTER AN ENTERPRISE-WIDE MINDSET, ACHIEVE GROWTH, , DEVELOP A VISIONARY APPROACH TO LEADERSHIP",325
SENIOR EXECUTIVES,9,UC Berkeley,Hass,NextGen Directors,Leadership and Communication,Yes,Berkeley,CA,2,In person,"Berkeley,CA",7500,,"C SUITE , SENIOR EXECUTIVES OF PRIVATE , PUBLIC COMPANIES, ANY ENTREPRENEUR, LEADER, OR PROFESSIONAL",208
SENIOR EXECUTIVES,2,Northwestern University,Kellogg School of Management,Operations Strategy,"Operation, Technology",,Evanston,IL,5,In person / Online,"Evanston, IL",7950,5450,SENIOR EXECUTIVES,54
SENIOR EXECUTIVES,1,University of Pennsylvania (Wharton),The Wharton School,Advanced Management Program,General Business Management,Yes,Philadelphia,PA,35,Hybrid,"Philadelphia, PA",69500,,SENIOR EXECUTIVES,7
SENIOR EXECUTIVES,9,UC Berkeley,Hass,Chief Executive Officer (CEO) Program,"Leadership and Communication, Strategy and management",Yes,Berkeley,CA,365,Hybrid,"Berkeley,CA",34000,,SENIOR EXECUTIVES,201
SENIOR EXECUTIVES,15,Emory University,Goizueta,Disrupting your Business Strategy,Innovation,Yes,Atlanta,GA,2,In person,Campus,2495,,"SENIOR EXECUTIVES , GENERAL MANAGERS",342
SENIOR EXECUTIVES,2,Northwestern University,Kellogg School of Management,Delivering Business Growth,Growth & Innovation,,Evanston,IL,4,In person,"Evanston, IL",9000,,"SENIOR EXECUTIVES, BUSINESS UNIT HEADS",14
SENIOR EXECUTIVES,2,Northwestern University,Kellogg School of Management,Leading and Sustaining a Culture of Innovation,Strategy,,Evanston,IL,4,In person,"Evanston, IL",9000,,SENIOR EXECUTIVES,58
SENIOR EXECUTIVES,9,UC Berkeley,Hass,Leading Strategy Execution through Culture,Leadership and Communication,Yes,Berkeley,CA,3,In person / Online,"Berkeley,CA",4500,3375,"SENIOR EXECUTIVES, TEAMS, ANYONE TAKING A STRATEGIC SHIFT IN ORGANISATION",206
SENIOR EXECUTIVES,9,UC Berkeley,Hass,Advanced Executive Presence,Leadership and Communication,Yes,Berkeley,CA,3,In person,"Berkeley,CA",5540,,"SENIOR EXECUTIVES, DIRECTORS, VICE PRESIDENTS, C-SUITE EXECUTIVES, , SENIOR MANAGERS",197
SENIOR EXECUTIVES,9,UC Berkeley,Hass,Business Analytics for Leaders : From Data to Decisions,"Entrepreneurship and Innovation, Strategy and management",Yes,Berkeley,CA,40,Online,Online,,2496,"MID- TO SENIOR-LEVEL MANAGERS, SENIOR EXECUTIVES , BUSINESS HEADS,CONSULTANTS, DATA ANALYTICS , TECHNOLOGY PROFESSIONALS",213
SENIOR EXECUTIVES,2,Northwestern University,Kellogg School of Management,The Strategy of Leadership,Leadership / Governance,,Evanston,IL,3,In person,"Evanston, IL",9000,,SENIOR EXECUTIVES,40
SENIOR EXECUTIVES,9,UC Berkeley,Hass,Chief Technology Officer (CTO) Program,"Entrepreneurship and Innovation, Strategy and management",Yes,Berkeley,CA,365,Hybrid,"Berkeley,CA",27000,,"CURRENT OR ASPIRING CTOS , SENIOR EXECUTIVES, TECHNICAL EXPERTS, INCLUDING VPS OF ENGINEERING , SOFTWARE ARCHITECTS",214
SENIOR EXECUTIVES,9,UC Berkeley,Hass,Berkeley Chief Digital Officer (CDO) Program,Leadership and Communication,Yes,Berkeley,CA,200,Hybrid,"Berkeley,CA",28000,,"SENIOR EXECUTIVES, LEADERS, , ASPIRANTS WHO ARE RESPONSIBLE FOR DRIVING DIGITAL STRATEGY",198
SENIOR EXECUTIVES,7,University of Michigan--Ann Arbor,Ross,Building Board Expertise on Sustainability,Focused Programs Courses,,Ann Arbor,MI,35,Online,Online,,3000,"BOARD MEMBERS – NEW OR SENIOR EXECUTIVES, PAST PARTICIPANTS INCLUDE C-SUITE EXECUTIVES , SENIOR EXECUTIVES",176
SENIOR EXECUTIVES,1,University of Pennsylvania (Wharton),The Wharton School,General Management Program,"General Business Management, Analytics, Marketing, Finance, Strategy",Yes,Philadelphia,PA,548,In person,"Philadelphia, PA",79500,,SENIOR EXECUTIVES,9
SENIOR EXECUTIVES,9,UC Berkeley,Hass,Communications Excellence,Leadership and Communication,Yes,Berkeley,CA,2,In person,"Berkeley,CA",4000,,"SENIOR LEADERSHIP EXECUTIVES , HIGH-POTENTIAL PROFESSIONALS IN BUSINESS DEVELOPMENT, SALES, , MARKETING TEAMS, WEB DEVELOPERS,ENGINEERS,ENTREPRENEURS,PROFESSIONALS",202
SENIOR EXECUTIVES,2,Northwestern University,Kellogg School of Management,Driving Organizational Change,Change Management,,Evanston,IL,4,In person,"Evanston, IL",10500,,"SENIOR-LEVEL EXECUTIVE LEADERS, CROSS-FUNCTIONAL EXECUTIVE TEAMS",28
SENIOR EXECUTIVES,3,University of Chicago (Booth),Booth School of Business,Mergers and Acquisitions,Finance / Accounting,Yes,Chicago,IL,5,In person,"Chicago, IL",12500,,"SENIOR , UPPER-MIDDLE LEVEL EXECUTIVES",64
DIGITAL MARKETING MANAGERS,9,UC Berkeley,Hass,Berkeley Chief Digital Officer (CDO) Program,Leadership and Communication,Yes,Berkeley,CA,200,Hybrid,"Berkeley,CA",28000,,"SENIOR EXECUTIVES, LEADERS, , ASPIRANTS WHO ARE RESPONSIBLE FOR DRIVING DIGITAL STRATEGY",198
DIGITAL MARKETING MANAGERS,9,UC Berkeley,Hass,Marketing Analytics - Strategies to Optimize ROI,Entrepreneurship and Innovation,Yes,Berkeley,CA,40,Online,Online,,2600,"MARKETING , DIGITAL MARKETING MANAGERS, ANALYSTS,PRODUCT , BUSINESS MANAGERS, BR, MANAGERS",219
DIGITAL MARKETING MANAGERS,4,Columbia University,Columbia Business School,Leading Digital Transformation,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"C-SUITE EXECUTIVES, DIRECTORS OF STRATEGY, HEADS OF DIGITAL TRANSFORMATION, CHANGE MANAGEMENT EXECUTIVES",157
DIGITAL MARKETING MANAGERS,4,Columbia University,Columbia Business School,Leading Digital Transformation,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"C-SUITE EXECUTIVES, DIRECTORS OF STRATEGY, HEADS OF DIGITAL TRANSFORMATION, CHANGE MANAGEMENT EXECUTIVES",155
